 ?, Some-college, Husband, Male, >50K
 Private, 7th-8th, Other-relative, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 7th-8th, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, Assoc-voc, Unmarried, Female, <=50K
 Private, Some-college, Wife, Female, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, 10th, Husband, Male, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Male, >50K
 Private, Masters, Husband, Male, >50K
 Private, Assoc-acdm, Husband, Male, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, Bachelors, Own-child, Female, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, 12th, Wife, Female, <=50K
 Private, Some-college, Wife, Female, >50K
 Private, 10th, Unmarried, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, 7th-8th, Unmarried, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, >50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, Some-college, Unmarried, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Own-child, Male, >50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Wife, Female, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Bachelors, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Assoc-acdm, Husband, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Masters, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Assoc-acdm, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Own-child, Male, <=50K
 Private, Bachelors, Own-child, Male, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, 9th, Husband, Male, <=50K
 Private, Assoc-acdm, Unmarried, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 10th, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Bachelors, Wife, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, 5th-6th, Husband, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, Assoc-acdm, Not-in-family, Male, <=50K
 Private, Assoc-acdm, Own-child, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Wife, Female, >50K
 Private, 11th, Own-child, Female, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, 5th-6th, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Some-college, Not-in-family, Male, >50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Masters, Husband, Male, >50K
 Private, HS-grad, Wife, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, Assoc-voc, Not-in-family, Male, <=50K
 Private, 10th, Not-in-family, Female, <=50K
 Private, Bachelors, Wife, Female, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, 12th, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, 9th, Own-child, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Masters, Wife, Female, >50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Wife, Female, <=50K
 Private, HS-grad, Not-in-family, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 10th, Wife, Female, <=50K
 Private, Assoc-acdm, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, 11th, Not-in-family, Male, <=50K
 Private, 5th-6th, Husband, Male, <=50K
 Private, Doctorate, Not-in-family, Male, >50K
 Private, Assoc-acdm, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, 11th, Not-in-family, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Wife, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 12th, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 11th, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 11th, Other-relative, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, HS-grad, Wife, Female, >50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, Masters, Husband, Male, >50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, 10th, Unmarried, Male, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, 11th, Other-relative, Female, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Bachelors, Not-in-family, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Assoc-voc, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, 7th-8th, Wife, Female, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Masters, Husband, Male, >50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 9th, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Masters, Husband, Male, >50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Wife, Female, <=50K
 Private, Prof-school, Husband, Male, >50K
 Private, 10th, Unmarried, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 9th, Husband, Male, <=50K
 Private, 10th, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Other-relative, Female, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, 9th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, 11th, Husband, Male, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, 11th, Husband, Male, <=50K
 Private, 11th, Own-child, Female, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Assoc-acdm, Wife, Female, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Bachelors, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, 12th, Own-child, Female, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Assoc-voc, Unmarried, Female, <=50K
 Private, 10th, Not-in-family, Male, <=50K
 Private, Some-college, Unmarried, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Masters, Not-in-family, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Male, >50K
 Private, Assoc-acdm, Husband, Male, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Assoc-voc, Husband, Male, >50K
 Private, Assoc-voc, Own-child, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, Doctorate, Husband, Male, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, >50K
 Private, Some-college, Unmarried, Male, >50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Masters, Husband, Male, >50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, 5th-6th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, Bachelors, Not-in-family, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Wife, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Masters, Not-in-family, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, 12th, Own-child, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Other-relative, Male, <=50K
 Private, 12th, Unmarried, Female, <=50K
 Private, 1st-4th, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Prof-school, Not-in-family, Male, >50K
 Private, Some-college, Wife, Female, >50K
 Private, Some-college, Own-child, Male, <=50K
 Private, HS-grad, Other-relative, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, 1st-4th, Husband, Male, <=50K
 Private, 7th-8th, Not-in-family, Male, >50K
 Private, 9th, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Some-college, Other-relative, Female, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, 11th, Own-child, Female, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, 11th, Other-relative, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, 10th, Not-in-family, Female, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Assoc-acdm, Own-child, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, 9th, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Other-relative, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 10th, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Doctorate, Husband, Male, >50K
 Private, Bachelors, Husband, Male, <=50K
 Private, 11th, Own-child, Female, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, 11th, Husband, Male, <=50K
 Private, Prof-school, Not-in-family, Male, >50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Other-relative, Male, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Assoc-acdm, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Other-relative, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Assoc-acdm, Unmarried, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Assoc-acdm, Husband, Male, <=50K
 Private, Masters, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Masters, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Male, >50K
 Private, 10th, Not-in-family, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Assoc-acdm, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Masters, Husband, Male, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 1st-4th, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Masters, Husband, Male, <=50K
 Private, HS-grad, Wife, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Bachelors, Husband, Male, >50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Assoc-acdm, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Bachelors, Own-child, Female, <=50K
 Private, Masters, Husband, Male, <=50K
 Private, Assoc-acdm, Unmarried, Female, <=50K
 Private, 9th, Wife, Female, <=50K
 Private, Some-college, Wife, Female, <=50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, Preschool, Not-in-family, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, Bachelors, Wife, Female, >50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Bachelors, Own-child, Male, <=50K
 Private, Bachelors, Own-child, Female, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, Bachelors, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Own-child, Female, <=50K
 Private, Some-college, Wife, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Own-child, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, 11th, Not-in-family, Female, <=50K
 Private, Assoc-voc, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Other-relative, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, 10th, Own-child, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Some-college, Wife, Female, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, Assoc-voc, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, 7th-8th, Own-child, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Other-relative, Male, <=50K
 Private, Prof-school, Not-in-family, Male, <=50K
 Private, 12th, Not-in-family, Male, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, Doctorate, Husband, Male, >50K
 Private, Masters, Husband, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, Masters, Husband, Male, >50K
 Private, Some-college, Own-child, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Bachelors, Husband, Male, >50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 7th-8th, Own-child, Male, <=50K
 Private, Bachelors, Unmarried, Female, >50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Prof-school, Not-in-family, Male, >50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, Masters, Husband, Male, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Some-college, Other-relative, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Some-college, Other-relative, Female, <=50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Some-college, Own-child, Male, <=50K
 Private, 10th, Unmarried, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Masters, Wife, Female, >50K
 Private, Bachelors, Not-in-family, Male, <=50K
 Private, Bachelors, Unmarried, Female, >50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, 11th, Not-in-family, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Unmarried, Female, <=50K
 Private, Doctorate, Not-in-family, Female, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, Assoc-voc, Unmarried, Female, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, Assoc-acdm, Not-in-family, Female, <=50K
 Private, Assoc-acdm, Wife, Female, >50K
 Private, 9th, Husband, Male, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, 9th, Not-in-family, Male, <=50K
 Private, 7th-8th, Own-child, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Bachelors, Unmarried, Male, <=50K
 Private, Assoc-voc, Husband, Male, >50K
 Private, HS-grad, Other-relative, Male, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, Assoc-voc, Husband, Male, <=50K
 Private, Some-college, Unmarried, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Preschool, Not-in-family, Male, <=50K
 Private, Prof-school, Not-in-family, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, Masters, Husband, Male, >50K
 Private, Assoc-voc, Unmarried, Male, <=50K
 Private, Assoc-voc, Not-in-family, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Masters, Husband, Male, >50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Masters, Wife, Female, >50K
 Private, Some-college, Unmarried, Male, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, Masters, Wife, Female, >50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, 11th, Own-child, Male, <=50K
 Private, 12th, Not-in-family, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, 7th-8th, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Assoc-voc, Not-in-family, Male, <=50K
 Private, HS-grad, Unmarried, Male, <=50K
 Private, Bachelors, Unmarried, Female, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, Bachelors, Husband, Male, >50K
 Private, Some-college, Own-child, Male, <=50K
 Private, 11th, Husband, Male, <=50K
 Private, Prof-school, Not-in-family, Male, >50K
 Private, Doctorate, Not-in-family, Male, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Female, <=50K
 Private, 11th, Own-child, Female, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, 10th, Husband, Male, <=50K
 Private, Some-college, Not-in-family, Male, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Some-college, Not-in-family, Female, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, Bachelors, Wife, Female, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Own-child, Female, <=50K
 Private, Bachelors, Not-in-family, Female, <=50K
 Private, 10th, Not-in-family, Male, <=50K
 Private, Prof-school, Husband, Male, >50K
 Private, HS-grad, Husband, Male, >50K
 Private, Bachelors, Husband, Male, >50K
 Private, Bachelors, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, Some-college, Husband, Male, >50K
 Private, Bachelors, Husband, Male, >50K
 Private, Assoc-acdm, Not-in-family, Female, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, HS-grad, Not-in-family, Male, <=50K
 Private, 7th-8th, Own-child, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Own-child, Male, <=50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Bachelors, Own-child, Male, <=50K
 Private, Bachelors, Not-in-family, Female, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, 12th, Not-in-family, Male, <=50K
 Private, 7th-8th, Not-in-family, Male, <=50K
 Private, 12th, Wife, Female, <=50K
 Private, Assoc-acdm, Own-child, Female, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, HS-grad, Husband, Male, <=50K
 Private, HS-grad, Husband, Male, >50K
 Private, Masters, Not-in-family, Male, <=50K
 Private, HS-grad, Other-relative, Male, <=50K
 Private, Assoc-voc, Not-in-family, Female, <=50K
 Private, Some-college, Husband, Male, <=50K
 Private, HS-grad, Unmarried, Female, <=50K
